---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
---------------------------------------------------------------
AoSScan/1/4096            31059 ns        31057 ns        22586
AoSScan/2/8192            31282 ns        31280 ns        22430
AoSScan/3/12288           31450 ns        31449 ns        22261
AoSScan/4/16384           31735 ns        31733 ns        22029
AoSScan/5/20480           32097 ns        32096 ns        21931
AoSScan/6/24576           32098 ns        32096 ns        21900
AoSScan/7/28672           32424 ns        32423 ns        21608
AoSScan/8/32768           32895 ns        32891 ns        21435
AoSScan/9/36864           33809 ns        33803 ns        20739
AoSScan/10/40960          34793 ns        34790 ns        20102
AoSScan/11/45056          35940 ns        35928 ns        19985
AoSScan/12/49152          35491 ns        35489 ns        19802
AoSScan/13/53248          35854 ns        35845 ns        19650
AoSScan/14/57344          36219 ns        36216 ns        19557
AoSScan/15/61440          36203 ns        36201 ns        19305
AoSScan/16/65536          36200 ns        36198 ns        19367
AoSScan/17/69632          36412 ns        36410 ns        19181
AoSScan/18/73728          36570 ns        36568 ns        19139
AoSScan/19/77824          36605 ns        36603 ns        19167
AoSScan/20/81920          36710 ns        36707 ns        19011
AoSScan/21/86016          36877 ns        36874 ns        19030
AoSScan/22/90112          37245 ns        37245 ns        18894
AoSScan/23/94208          36968 ns        36974 ns        18923
AoSScan/24/98304          36914 ns        36920 ns        18930
AoSScan/25/102400         37114 ns        37121 ns        18850
AoSScan/26/106496         37205 ns        37212 ns        18810
AoSScan/27/110592         37216 ns        37223 ns        18856
AoSScan/28/114688         37314 ns        37320 ns        18701
AoSScan/29/118784         37550 ns        37557 ns        18664
AoSScan/30/122880         37763 ns        37770 ns        18585
AoSScan/31/126976         37717 ns        37723 ns        18571
AoSScan/32/131072         37937 ns        37943 ns        18423
AoSScan/33/135168         37743 ns        37750 ns        18470
AoSScan/34/139264         38338 ns        38345 ns        18477
AoSScan/35/143360         37865 ns        37871 ns        18424
AoSScan/36/147456         37984 ns        37991 ns        18397
AoSScan/37/151552         38236 ns        38242 ns        18363
AoSScan/38/155648         37999 ns        38005 ns        18410
AoSScan/39/159744         38058 ns        38064 ns        18363
AoSScan/40/163840         38028 ns        38034 ns        18358
AoSScan/41/167936         40306 ns        40313 ns        18377
AoSScan/42/172032         40515 ns        40522 ns        17267
AoSScan/43/176128         40707 ns        40714 ns        17186
AoSScan/44/180224         40689 ns        40696 ns        17128
AoSScan/45/184320         40723 ns        40730 ns        17114
AoSScan/46/188416         40816 ns        40823 ns        17118
AoSScan/47/192512         40721 ns        40726 ns        17068
AoSScan/48/196608         41019 ns        41025 ns        17057
AoSScan/49/200704         40981 ns        40987 ns        17003
AoSScan/50/204800         41159 ns        41165 ns        16943
AoSScan/51/208896         41319 ns        41325 ns        16860
AoSScan/52/212992         41319 ns        41325 ns        16960
AoSScan/53/217088         41463 ns        41470 ns        16949
AoSScan/54/221184         41430 ns        41437 ns        16933
AoSScan/55/225280         41863 ns        41870 ns        13516
AoSScan/56/229376         41487 ns        41493 ns        16808
AoSScan/57/233472         41537 ns        41542 ns        16819
AoSScan/58/237568         41703 ns        41709 ns        16763
AoSScan/59/241664         41567 ns        41573 ns        16740
AoSScan/60/245760         41859 ns        41865 ns        16756
AoSScan/61/249856         41878 ns        41884 ns        16782
AoSScan/62/253952         41872 ns        41878 ns        16755
AoSScan/63/258048         41961 ns        41966 ns        16700
AoSScan/64/262144         48780 ns        48787 ns        13492
AoSScan/65/266240         42158 ns        42164 ns        16606
AoSScan/66/270336         42151 ns        42157 ns        15048
AoSScan/67/274432         42363 ns        42369 ns        16511
AoSScan/68/278528         45037 ns        45043 ns        16461
AoSScan/69/282624         42555 ns        42561 ns        16476
AoSScan/70/286720         42452 ns        42458 ns        16413
AoSScan/71/290816         43319 ns        43324 ns        15584
AoSScan/72/294912         43059 ns        43065 ns        16245
AoSScan/73/299008         42970 ns        42975 ns        16326
AoSScan/74/303104         43150 ns        43155 ns        16248
AoSScan/75/307200         43093 ns        43099 ns        16180
AoSScan/76/311296         43254 ns        43259 ns        16229
AoSScan/77/315392         43466 ns        43471 ns        16140
AoSScan/78/319488         43418 ns        43423 ns        16138
AoSScan/79/323584         43571 ns        43577 ns        16025
AoSScan/80/327680         44236 ns        44241 ns        15794
AoSScan/81/331776         43869 ns        43874 ns        15963
AoSScan/82/335872         43863 ns        43869 ns        15944
AoSScan/83/339968         43906 ns        43912 ns        15927
AoSScan/84/344064         44416 ns        44421 ns        15801
AoSScan/85/348160         44764 ns        44769 ns        15605
AoSScan/86/352256         44690 ns        44695 ns        15701
AoSScan/87/356352         44519 ns        44524 ns        15699
AoSScan/88/360448         44538 ns        44543 ns        15704
AoSScan/89/364544         44523 ns        44528 ns        15736
AoSScan/90/368640         44513 ns        44518 ns        15728
AoSScan/91/372736         44468 ns        44473 ns        15763
AoSScan/92/376832         44264 ns        44269 ns        15748
AoSScan/93/380928         44341 ns        44346 ns        15795
AoSScan/94/385024         44300 ns        44305 ns        15813
AoSScan/95/389120         44305 ns        44310 ns        15788
AoSScan/96/393216         45480 ns        45485 ns        14903
AoSScan/97/397312         44868 ns        44873 ns        15591
AoSScan/98/401408         45311 ns        45315 ns        15442
AoSScan/99/405504         45713 ns        45715 ns        15350
AoSScan/100/409600        46092 ns        46097 ns        15183
AoSScan/101/413696        46517 ns        46522 ns        15079
AoSScan/102/417792        54659 ns        54663 ns        14982
AoSScan/103/421888        58014 ns        58020 ns        10779
AoSScan/104/425984        47452 ns        47457 ns        14735
AoSScan/105/430080        47558 ns        47563 ns        14699
AoSScan/106/434176        47747 ns        47751 ns        14678
AoSScan/107/438272        47870 ns        47874 ns        14619
AoSScan/108/442368        48137 ns        48142 ns        14536
AoSScan/109/446464        48189 ns        48194 ns        14471
AoSScan/110/450560        48382 ns        48387 ns        14469
AoSScan/111/454656        48346 ns        48351 ns        14489
AoSScan/112/458752        48496 ns        48500 ns        14487
AoSScan/113/462848        48470 ns        48475 ns        14468
AoSScan/114/466944        48347 ns        48350 ns        14449
