---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
---------------------------------------------------------------
AoSScan/1/4096            35824 ns        35824 ns        19432
AoSScan/2/8192            35857 ns        35857 ns        19586
AoSScan/3/12288           35864 ns        35865 ns        19443
AoSScan/4/16384           36022 ns        36021 ns        19516
AoSScan/5/20480           36048 ns        36048 ns        19388
AoSScan/6/24576           36140 ns        36140 ns        19367
AoSScan/7/28672           36209 ns        36210 ns        19297
AoSScan/8/32768           36380 ns        36380 ns        19136
AoSScan/9/36864           36290 ns        36290 ns        19287
AoSScan/10/40960          36475 ns        36474 ns        19251
AoSScan/11/45056          36667 ns        36667 ns        19105
AoSScan/12/49152          36776 ns        36775 ns        19076
AoSScan/13/53248          36831 ns        36832 ns        19033
AoSScan/14/57344          36901 ns        36901 ns        18984
AoSScan/15/61440          37152 ns        37153 ns        18945
AoSScan/16/65536          37385 ns        37385 ns        18850
AoSScan/17/69632          37133 ns        37133 ns        18822
AoSScan/18/73728          37231 ns        37230 ns        18831
AoSScan/19/77824          37480 ns        37480 ns        18777
AoSScan/20/81920          37514 ns        37513 ns        18731
AoSScan/21/86016          37424 ns        37425 ns        18757
AoSScan/22/90112          37686 ns        37686 ns        18614
AoSScan/23/94208          37830 ns        37830 ns        18650
AoSScan/24/98304          37847 ns        37848 ns        18603
AoSScan/25/102400         37983 ns        37982 ns        18479
AoSScan/26/106496         38061 ns        38061 ns        18495
AoSScan/27/110592         37953 ns        37953 ns        18452
AoSScan/28/114688         38226 ns        38226 ns        18358
AoSScan/29/118784         38341 ns        38341 ns        18303
AoSScan/30/122880         38198 ns        38198 ns        18358
AoSScan/31/126976         38414 ns        38415 ns        18308
AoSScan/32/131072         39471 ns        39471 ns        18039
AoSScan/33/135168         38491 ns        38489 ns        18250
AoSScan/34/139264         38646 ns        38646 ns        18182
AoSScan/35/143360         38692 ns        38692 ns        18185
AoSScan/36/147456         38635 ns        38635 ns        18127
AoSScan/37/151552         38689 ns        38689 ns        18045
AoSScan/38/155648         38642 ns        38640 ns        18056
AoSScan/39/159744         38876 ns        38876 ns        18038
AoSScan/40/163840         39215 ns        39215 ns        17896
AoSScan/41/167936         38939 ns        38938 ns        17980
AoSScan/42/172032         39161 ns        39161 ns        17972
AoSScan/43/176128         38967 ns        38966 ns        17919
AoSScan/44/180224         38809 ns        38807 ns        17882
AoSScan/45/184320         38804 ns        38804 ns        18025
AoSScan/46/188416         39186 ns        39186 ns        17823
AoSScan/47/192512         39198 ns        39199 ns        17734
AoSScan/48/196608         39558 ns        39558 ns        17655
AoSScan/49/200704         39416 ns        39415 ns        17732
AoSScan/50/204800         39625 ns        39625 ns        17669
AoSScan/51/208896         39284 ns        39284 ns        17642
AoSScan/52/212992         39541 ns        39540 ns        17673
AoSScan/53/217088         39749 ns        39749 ns        17567
AoSScan/54/221184         39738 ns        39738 ns        17619
AoSScan/55/225280         39880 ns        39880 ns        17576
AoSScan/56/229376         40952 ns        40952 ns        17157
AoSScan/57/233472         40327 ns        40327 ns        17373
AoSScan/58/237568         40419 ns        40419 ns        17448
AoSScan/59/241664         39856 ns        39856 ns        17646
AoSScan/60/245760         40060 ns        40059 ns        17377
AoSScan/61/249856         39947 ns        39945 ns        17521
AoSScan/62/253952         40076 ns        40075 ns        17407
AoSScan/63/258048         40254 ns        40254 ns        17300
AoSScan/64/262144         45499 ns        45499 ns        15051
AoSScan/65/266240         40632 ns        40631 ns        17343
AoSScan/66/270336         40772 ns        40772 ns        17262
AoSScan/67/274432         40115 ns        40115 ns        17456
AoSScan/68/278528         40735 ns        40733 ns        17192
AoSScan/69/282624         40241 ns        40241 ns        17222
AoSScan/70/286720         40315 ns        40314 ns        17342
AoSScan/71/290816         40742 ns        40742 ns        17173
AoSScan/72/294912         41047 ns        41047 ns        17043
AoSScan/73/299008         40729 ns        40730 ns        17184
AoSScan/74/303104         40908 ns        40908 ns        17151
AoSScan/75/307200         40897 ns        40897 ns        17149
AoSScan/76/311296         40557 ns        40558 ns        17002
AoSScan/77/315392         40625 ns        40623 ns        17083
