---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
---------------------------------------------------------------
SoAScan/1/4096            33158 ns        33158 ns        21383
SoAScan/2/8192            33227 ns        33227 ns        21035
SoAScan/3/12288           33415 ns        33415 ns        20829
SoAScan/4/16384           33551 ns        33551 ns        20905
SoAScan/5/20480           33761 ns        33761 ns        20694
SoAScan/6/24576           33823 ns        33823 ns        20683
SoAScan/7/28672           34171 ns        34171 ns        19545
SoAScan/8/32768           34245 ns        34244 ns        20420
SoAScan/9/36864           34552 ns        34552 ns        20061
SoAScan/10/40960          34983 ns        34983 ns        20178
SoAScan/11/45056          35110 ns        35110 ns        19968
SoAScan/12/49152          35201 ns        35201 ns        19867
SoAScan/13/53248          35572 ns        35573 ns        19689
SoAScan/14/57344          35861 ns        35861 ns        19536
SoAScan/15/61440          36192 ns        36193 ns        19321
SoAScan/16/65536          36850 ns        36849 ns        18966
SoAScan/17/69632          36984 ns        36984 ns        18886
SoAScan/18/73728          37283 ns        37284 ns        18551
SoAScan/19/77824          37579 ns        37579 ns        18684
SoAScan/20/81920          37691 ns        37691 ns        18595
SoAScan/21/86016          37564 ns        37564 ns        18705
SoAScan/22/90112          37334 ns        37334 ns        18785
SoAScan/23/94208          37475 ns        37475 ns        18688
SoAScan/24/98304          37521 ns        37520 ns        18670
SoAScan/25/102400         37665 ns        37665 ns        18579
SoAScan/26/106496         37973 ns        37973 ns        18512
SoAScan/27/110592         38245 ns        38245 ns        18359
SoAScan/28/114688         38144 ns        38145 ns        18360
SoAScan/29/118784         38575 ns        38574 ns        18219
SoAScan/30/122880         38554 ns        38554 ns        18189
SoAScan/31/126976         38823 ns        38823 ns        18041
SoAScan/32/131072         39039 ns        39039 ns        17984
SoAScan/33/135168         39620 ns        39620 ns        17634
SoAScan/34/139264         40250 ns        40250 ns        17401
SoAScan/35/143360         40961 ns        40961 ns        16754
SoAScan/36/147456         41484 ns        41484 ns        16896
SoAScan/37/151552         41870 ns        41870 ns        16720
SoAScan/38/155648         42151 ns        42151 ns        16619
SoAScan/39/159744         42705 ns        42705 ns        16450
SoAScan/40/163840         43003 ns        43003 ns        16328
SoAScan/41/167936         43299 ns        43299 ns        16214
SoAScan/42/172032         43544 ns        43544 ns        16043
SoAScan/43/176128         43883 ns        43883 ns        16027
SoAScan/44/180224         44073 ns        44073 ns        15875
SoAScan/45/184320         44459 ns        44459 ns        15788
SoAScan/46/188416         44656 ns        44656 ns        15677
SoAScan/47/192512         45009 ns        45009 ns        15373
SoAScan/48/196608         45468 ns        45468 ns        15437
SoAScan/49/200704         45782 ns        45782 ns        15423
SoAScan/50/204800         45691 ns        45691 ns        15374
SoAScan/51/208896         45938 ns        45938 ns        15302
SoAScan/52/212992         45976 ns        45976 ns        15256
SoAScan/53/217088         46174 ns        46172 ns        14985
SoAScan/54/221184         46265 ns        46265 ns        15146
SoAScan/55/225280         46432 ns        46432 ns        15078
SoAScan/56/229376         46400 ns        46399 ns        15134
SoAScan/57/233472         46509 ns        46510 ns        15025
SoAScan/58/237568         46674 ns        46674 ns        14976
SoAScan/59/241664         46763 ns        46763 ns        14997
SoAScan/60/245760         46947 ns        46947 ns        14989
