---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
---------------------------------------------------------------
SoAScan/1/4096            30334 ns        30334 ns        23012
SoAScan/2/8192            30455 ns        30456 ns        23094
SoAScan/3/12288           30608 ns        30609 ns        22849
SoAScan/4/16384           30705 ns        30705 ns        22907
SoAScan/5/20480           31096 ns        31096 ns        22598
SoAScan/6/24576           30953 ns        30952 ns        22411
SoAScan/7/28672           31275 ns        31276 ns        22409
SoAScan/8/32768           31431 ns        31432 ns        22255
SoAScan/9/36864           31631 ns        31632 ns        22051
SoAScan/10/40960          32008 ns        32008 ns        22045
SoAScan/11/45056          32137 ns        32137 ns        21799
SoAScan/12/49152          32444 ns        32444 ns        21567
SoAScan/13/53248          32888 ns        32888 ns        21362
SoAScan/14/57344          33151 ns        33150 ns        21192
SoAScan/15/61440          33587 ns        33587 ns        20851
SoAScan/16/65536          34042 ns        34042 ns        20621
SoAScan/17/69632          34273 ns        34273 ns        20440
SoAScan/18/73728          34375 ns        34376 ns        20416
SoAScan/19/77824          34366 ns        34366 ns        20384
SoAScan/20/81920          34400 ns        34399 ns        20340
SoAScan/21/86016          34226 ns        34226 ns        20478
SoAScan/22/90112          34147 ns        34147 ns        20570
SoAScan/23/94208          34589 ns        34589 ns        20203
SoAScan/24/98304          34554 ns        34555 ns        20304
SoAScan/25/102400         34668 ns        34668 ns        20252
SoAScan/26/106496         34847 ns        34847 ns        20107
SoAScan/27/110592         34870 ns        34870 ns        20044
SoAScan/28/114688         35046 ns        35047 ns        20025
SoAScan/29/118784         35131 ns        35131 ns        19973
SoAScan/30/122880         35388 ns        35385 ns        19806
SoAScan/31/126976         35378 ns        35376 ns        19776
SoAScan/32/131072         35467 ns        35466 ns        19793
SoAScan/33/135168         36017 ns        36017 ns        19542
SoAScan/34/139264         36577 ns        36578 ns        19145
SoAScan/35/143360         37190 ns        37191 ns        18828
SoAScan/36/147456         37752 ns        37752 ns        18480
SoAScan/37/151552         38407 ns        38406 ns        18305
SoAScan/38/155648         38715 ns        38714 ns        17920
SoAScan/39/159744         39044 ns        39044 ns        17855
SoAScan/40/163840         39573 ns        39573 ns        17727
SoAScan/41/167936         39560 ns        39560 ns        17597
SoAScan/42/172032         39868 ns        39866 ns        17462
SoAScan/43/176128         40402 ns        40402 ns        17388
SoAScan/44/180224         40564 ns        40563 ns        17326
SoAScan/45/184320         40637 ns        40638 ns        17231
SoAScan/46/188416         40640 ns        40640 ns        17221
SoAScan/47/192512         41026 ns        41027 ns        16966
SoAScan/48/196608         40880 ns        40878 ns        17063
SoAScan/49/200704         41520 ns        41519 ns        16884
SoAScan/50/204800         41586 ns        41585 ns        16798
SoAScan/51/208896         41633 ns        41634 ns        16744
SoAScan/52/212992         41914 ns        41915 ns        16702
SoAScan/53/217088         41872 ns        41872 ns        16672
SoAScan/54/221184         42030 ns        42030 ns        16533
SoAScan/55/225280         42360 ns        42360 ns        16533
SoAScan/56/229376         42400 ns        42400 ns        16408
SoAScan/57/233472         42276 ns        42276 ns        16428
SoAScan/58/237568         42751 ns        42750 ns        16413
SoAScan/59/241664         42727 ns        42726 ns        16407
SoAScan/60/245760         42906 ns        42906 ns        16409
SoAScan/61/249856         42816 ns        42816 ns        16338
SoAScan/62/253952         42994 ns        42993 ns        16314
SoAScan/63/258048         42994 ns        42995 ns        16246
SoAScan/64/262144         53707 ns        53707 ns        16321
SoAScan/65/266240         43129 ns        43128 ns        16136
SoAScan/66/270336         43117 ns        43117 ns        16079
SoAScan/67/274432         43315 ns        43314 ns        16188
SoAScan/68/278528         43378 ns        43378 ns        16209
SoAScan/69/282624         43659 ns        43659 ns        15913
SoAScan/70/286720         43578 ns        43579 ns        16044
SoAScan/71/290816         43722 ns        43721 ns        16011
SoAScan/72/294912         43556 ns        43555 ns        15939
SoAScan/73/299008         43843 ns        43842 ns        15991
SoAScan/74/303104         43917 ns        43917 ns        15970
SoAScan/75/307200         44132 ns        44132 ns        15944
SoAScan/76/311296         44005 ns        44005 ns        15935
SoAScan/77/315392         44077 ns        44078 ns        15958
SoAScan/78/319488         44049 ns        44049 ns        15862
SoAScan/79/323584         44290 ns        44290 ns        15847
SoAScan/80/327680         44123 ns        44121 ns        15884
SoAScan/81/331776         44295 ns        44295 ns        15853
SoAScan/82/335872         44167 ns        44168 ns        15791
SoAScan/83/339968         44556 ns        44557 ns        15781
SoAScan/84/344064         44444 ns        44443 ns        15774
SoAScan/85/348160         44432 ns        44429 ns        15715
SoAScan/86/352256         44496 ns        44496 ns        15765
SoAScan/87/356352         44429 ns        44427 ns        15769
SoAScan/88/360448         44459 ns        44460 ns        15797
SoAScan/89/364544         44617 ns        44617 ns        15714
SoAScan/90/368640         44437 ns        44436 ns        15785
SoAScan/91/372736         44736 ns        44736 ns        15670
SoAScan/92/376832         44702 ns        44702 ns        15719
SoAScan/93/380928         44719 ns        44720 ns        15702
SoAScan/94/385024         44738 ns        44738 ns        15592
SoAScan/95/389120         44855 ns        44856 ns        15624
SoAScan/96/393216         45175 ns        45176 ns        15515
SoAScan/97/397312         44937 ns        44937 ns        15628
SoAScan/98/401408         44945 ns        44944 ns        15570
SoAScan/99/405504         44907 ns        44907 ns        15670
SoAScan/100/409600        44961 ns        44961 ns        15685
SoAScan/101/413696        44871 ns        44871 ns        15613
SoAScan/102/417792        44909 ns        44910 ns        15599
SoAScan/103/421888        44906 ns        44906 ns        15592
SoAScan/104/425984        44924 ns        44922 ns        15600
SoAScan/105/430080        44956 ns        44957 ns        15578
SoAScan/106/434176        45090 ns        45090 ns        15568
SoAScan/107/438272        45074 ns        45074 ns        15592
SoAScan/108/442368        45066 ns        45067 ns        15483
SoAScan/109/446464        45238 ns        45239 ns        15536
SoAScan/110/450560        45172 ns        45169 ns        15561
SoAScan/111/454656        45113 ns        45114 ns        15509
SoAScan/112/458752        44908 ns        44908 ns        15604
SoAScan/113/462848        45256 ns        45256 ns        15536
SoAScan/114/466944        45405 ns        45405 ns        15544
SoAScan/115/471040        45261 ns        45262 ns        15482
SoAScan/116/475136        45117 ns        45117 ns        15460
SoAScan/117/479232        45359 ns        45358 ns        15494
SoAScan/118/483328        45260 ns        45260 ns        15471
SoAScan/119/487424        45269 ns        45269 ns        15552
SoAScan/120/491520        45347 ns        45347 ns        15505
SoAScan/121/495616        45515 ns        45511 ns        15459
SoAScan/122/499712        45478 ns        45479 ns        15427
SoAScan/123/503808        45426 ns        45427 ns        15419
SoAScan/124/507904        45501 ns        45501 ns        15385
SoAScan/125/512000        45559 ns        45560 ns        15413
SoAScan/126/516096        45504 ns        45503 ns        15467
SoAScan/127/520192        46062 ns        46062 ns        15174
SoAScan/128/524288        52589 ns        52590 ns        13626
SoAScan/129/528384        46301 ns        46300 ns        15167
SoAScan/130/532480        46459 ns        46459 ns        15134
SoAScan/131/536576        46711 ns        46711 ns        15045
SoAScan/132/540672        46830 ns        46831 ns        15053
SoAScan/133/544768        46931 ns        46932 ns        14939
SoAScan/134/548864        47007 ns        47008 ns        14891
SoAScan/135/552960        47240 ns        47240 ns        14800
SoAScan/136/557056        47313 ns        47312 ns        14808
SoAScan/137/561152        47537 ns        47535 ns        14767
SoAScan/138/565248        47665 ns        47665 ns        14738
SoAScan/139/569344        47747 ns        47746 ns        14720
SoAScan/140/573440        48130 ns        48131 ns        14625
SoAScan/141/577536        48207 ns        48207 ns        14556
SoAScan/142/581632        48293 ns        48292 ns        14457
SoAScan/143/585728        48216 ns        48215 ns        14510
SoAScan/144/589824        48243 ns        48242 ns        14549
SoAScan/145/593920        48543 ns        48543 ns        14390
SoAScan/146/598016        48507 ns        48505 ns        14455
SoAScan/147/602112        48543 ns        48544 ns        14430
SoAScan/148/606208        48601 ns        48601 ns        14400
SoAScan/149/610304        48581 ns        48582 ns        14409
SoAScan/150/614400        48498 ns        48498 ns        14412
SoAScan/151/618496        48576 ns        48575 ns        14389
SoAScan/152/622592        48619 ns        48620 ns        14437
SoAScan/153/626688        48719 ns        48717 ns        14416
SoAScan/154/630784        48774 ns        48775 ns        14407
SoAScan/155/634880        48797 ns        48798 ns        14279
SoAScan/156/638976        48860 ns        48860 ns        14389
SoAScan/157/643072        48725 ns        48724 ns        14399
SoAScan/158/647168        48918 ns        48917 ns        14364
SoAScan/159/651264        48882 ns        48882 ns        14361
SoAScan/160/655360        49078 ns        49078 ns        14228
SoAScan/161/659456        49073 ns        49074 ns        14333
SoAScan/162/663552        48904 ns        48903 ns        14296
SoAScan/163/667648        48982 ns        48983 ns        14332
SoAScan/164/671744        48970 ns        48971 ns        14331
SoAScan/165/675840        49162 ns        49162 ns        14347
SoAScan/166/679936        48851 ns        48849 ns        14288
SoAScan/167/684032        49012 ns        49011 ns        14298
SoAScan/168/688128        49004 ns        49003 ns        14342
SoAScan/169/692224        48995 ns        48994 ns        14305
SoAScan/170/696320        48987 ns        48988 ns        14299
SoAScan/171/700416        48884 ns        48883 ns        14303
SoAScan/172/704512        48993 ns        48994 ns        14257
SoAScan/173/708608        49267 ns        49264 ns        14226
SoAScan/174/712704        49311 ns        49311 ns        14226
SoAScan/175/716800        49191 ns        49190 ns        14213
SoAScan/176/720896        49242 ns        49242 ns        14249
SoAScan/177/724992        49447 ns        49448 ns        14227
SoAScan/178/729088        49466 ns        49466 ns        14161
SoAScan/179/733184        49540 ns        49541 ns        14249
SoAScan/180/737280        49178 ns        49177 ns        13985
SoAScan/181/741376        49271 ns        49269 ns        14133
SoAScan/182/745472        49365 ns        49366 ns        14187
SoAScan/183/749568        49495 ns        49496 ns        13995
SoAScan/184/753664        49406 ns        49406 ns        14130
SoAScan/185/757760        49542 ns        49540 ns        14184
SoAScan/186/761856        49655 ns        49654 ns        14087
SoAScan/187/765952        49653 ns        49653 ns        14114
SoAScan/188/770048        49579 ns        49579 ns        14103
SoAScan/189/774144        49662 ns        49662 ns        14096
SoAScan/190/778240        49667 ns        49666 ns        14158
SoAScan/191/782336        49770 ns        49769 ns        13962
SoAScan/192/786432        61057 ns        61058 ns        13636
SoAScan/193/790528        49988 ns        49987 ns        13990
SoAScan/194/794624        49987 ns        49987 ns        14026
SoAScan/195/798720        49821 ns        49822 ns        13979
SoAScan/196/802816        49965 ns        49965 ns        14057
SoAScan/197/806912        49932 ns        49932 ns        13946
SoAScan/198/811008        50041 ns        50042 ns        13899
SoAScan/199/815104        49977 ns        49977 ns        13874
SoAScan/200/819200        50122 ns        50120 ns        13831
SoAScan/201/823296        50121 ns        50122 ns        13865
SoAScan/202/827392        50240 ns        50239 ns        13898
SoAScan/203/831488        50203 ns        50203 ns        13899
SoAScan/204/835584        50083 ns        50082 ns        13811
SoAScan/205/839680        50270 ns        50270 ns        13888
SoAScan/206/843776        50306 ns        50306 ns        13796
SoAScan/207/847872        50356 ns        50356 ns        13884
SoAScan/208/851968        50374 ns        50373 ns        13785
SoAScan/209/856064        50607 ns        50606 ns        13824
SoAScan/210/860160        50572 ns        50572 ns        13809
SoAScan/211/864256        50594 ns        50595 ns        13842
SoAScan/212/868352        50449 ns        50447 ns        13876
SoAScan/213/872448        50798 ns        50796 ns        13732
SoAScan/214/876544        50964 ns        50961 ns        13552
SoAScan/215/880640        50745 ns        50744 ns        13742
SoAScan/216/884736        50836 ns        50834 ns        13799
SoAScan/217/888832        50924 ns        50924 ns        13747
SoAScan/218/892928        50795 ns        50796 ns        13786
SoAScan/219/897024        51213 ns        51210 ns        13782
SoAScan/220/901120        50953 ns        50951 ns        13766
SoAScan/221/905216        50851 ns        50851 ns        13727
SoAScan/222/909312        50680 ns        50679 ns        13731
SoAScan/223/913408        50450 ns        50451 ns        13745
SoAScan/224/917504        51170 ns        51169 ns        13648
SoAScan/225/921600        50648 ns        50649 ns        13853
SoAScan/226/925696        50600 ns        50599 ns        13849
SoAScan/227/929792        50580 ns        50580 ns        13705
SoAScan/228/933888        50430 ns        50432 ns        13748
SoAScan/229/937984        50632 ns        50632 ns        13730
SoAScan/230/942080        50761 ns        50759 ns        13729
SoAScan/231/946176        50755 ns        50755 ns        13778
SoAScan/232/950272        50697 ns        50697 ns        13801
SoAScan/233/954368        50656 ns        50655 ns        13775
SoAScan/234/958464        50796 ns        50797 ns        13721
SoAScan/235/962560        50886 ns        50886 ns        13721
SoAScan/236/966656        50880 ns        50880 ns        13694
SoAScan/237/970752        50962 ns        50962 ns        13638
SoAScan/238/974848        51087 ns        51085 ns        13697
SoAScan/239/978944        51011 ns        51012 ns        13642
SoAScan/240/983040        51085 ns        51086 ns        13604
SoAScan/241/987136        51275 ns        51275 ns        13555
SoAScan/242/991232        51255 ns        51255 ns        13598
SoAScan/243/995328        51380 ns        51380 ns        13586
SoAScan/244/999424        51640 ns        51639 ns        13511
SoAScan/245/1003520       51569 ns        51564 ns        13542
SoAScan/246/1007616       51632 ns        51633 ns        13405
SoAScan/247/1011712       51671 ns        51672 ns        13477
SoAScan/248/1015808       51675 ns        51675 ns        13515
SoAScan/249/1019904       51785 ns        51786 ns        13499
SoAScan/250/1024000       51774 ns        51767 ns        13423
SoAScan/251/1028096       51753 ns        51753 ns        13436
SoAScan/252/1032192       51790 ns        51790 ns        13427
SoAScan/253/1036288       51960 ns        51961 ns        13438
SoAScan/254/1040384       51976 ns        51976 ns        13396
SoAScan/255/1044480       51916 ns        51911 ns        13432
SoAScan/256/1048576      120979 ns       120976 ns         5417
SoAScan/257/1052672       52024 ns        52022 ns        13420
SoAScan/258/1056768       52006 ns        52006 ns        13386
SoAScan/259/1060864       52037 ns        52037 ns        13372
SoAScan/260/1064960       52126 ns        52120 ns        13405
SoAScan/261/1069056       52194 ns        52194 ns        13369
SoAScan/262/1073152       52136 ns        52136 ns        13330
SoAScan/263/1077248       52103 ns        52104 ns        13383
SoAScan/264/1081344       52179 ns        52178 ns        13421
SoAScan/265/1085440       52038 ns        52038 ns        13395
SoAScan/266/1089536       52067 ns        52067 ns        13440
SoAScan/267/1093632       52099 ns        52098 ns        13342
SoAScan/268/1097728       52012 ns        52012 ns        13375
SoAScan/269/1101824       52139 ns        52138 ns        13369
SoAScan/270/1105920       52213 ns        52214 ns        13322
SoAScan/271/1110016       52040 ns        52040 ns        13299
SoAScan/272/1114112       52310 ns        52310 ns        13306
SoAScan/273/1118208       52285 ns        52285 ns        13313
SoAScan/274/1122304       52346 ns        52345 ns        13351
SoAScan/275/1126400       52424 ns        52423 ns        13325
SoAScan/276/1130496       52521 ns        52516 ns        13302
SoAScan/277/1134592       52345 ns        52345 ns        13267
SoAScan/278/1138688       52437 ns        52436 ns        13253
SoAScan/279/1142784       52581 ns        52580 ns        13288
SoAScan/280/1146880       52632 ns        52633 ns        13204
SoAScan/281/1150976       52644 ns        52638 ns        13191
SoAScan/282/1155072       52621 ns        52620 ns        13314
SoAScan/283/1159168       52616 ns        52617 ns        13188
SoAScan/284/1163264       52602 ns        52603 ns        13196
SoAScan/285/1167360       52689 ns        52686 ns        13177
SoAScan/286/1171456       52709 ns        52704 ns        13245
SoAScan/287/1175552       52832 ns        52833 ns        13170
SoAScan/288/1179648       53442 ns        53440 ns        13068
SoAScan/289/1183744       53144 ns        53144 ns        13103
SoAScan/290/1187840       52820 ns        52820 ns        13184
SoAScan/291/1191936       52976 ns        52971 ns        13200
SoAScan/292/1196032       52852 ns        52852 ns        13176
SoAScan/293/1200128       52807 ns        52805 ns        13246
SoAScan/294/1204224       52684 ns        52684 ns        13209
SoAScan/295/1208320       53038 ns        53037 ns        13195
SoAScan/296/1212416       52805 ns        52805 ns        13197
SoAScan/297/1216512       52866 ns        52866 ns        13200
SoAScan/298/1220608       52949 ns        52948 ns        13130
SoAScan/299/1224704       52814 ns        52814 ns        13248
SoAScan/300/1228800       52997 ns        52997 ns        13186
SoAScan/301/1232896       52957 ns        52958 ns        13149
SoAScan/302/1236992       53078 ns        53078 ns        13171
SoAScan/303/1241088       52874 ns        52874 ns        13170
SoAScan/304/1245184       52967 ns        52967 ns        13131
SoAScan/305/1249280       53101 ns        53101 ns        13132
SoAScan/306/1253376       53188 ns        53188 ns        13132
SoAScan/307/1257472       53089 ns        53084 ns        13103
SoAScan/308/1261568       53184 ns        53184 ns        13041
SoAScan/309/1265664       53178 ns        53177 ns        13120
SoAScan/310/1269760       53227 ns        53226 ns        13116
SoAScan/311/1273856       53381 ns        53381 ns        13080
SoAScan/312/1277952       53280 ns        53275 ns        13080
SoAScan/313/1282048       53360 ns        53359 ns        13053
SoAScan/314/1286144       53112 ns        53111 ns        13077
SoAScan/315/1290240       53238 ns        53238 ns        13110
SoAScan/316/1294336       53323 ns        53322 ns        13070
SoAScan/317/1298432       53395 ns        53392 ns        13069
SoAScan/318/1302528       53536 ns        53537 ns        12983
SoAScan/319/1306624       53582 ns        53582 ns        12999
SoAScan/320/1310720       59562 ns        59561 ns        13038
SoAScan/321/1314816       53831 ns        53832 ns        13004
SoAScan/322/1318912       53693 ns        53694 ns        12856
SoAScan/323/1323008       53797 ns        53797 ns        12954
SoAScan/324/1327104       53769 ns        53770 ns        12943
SoAScan/325/1331200       53675 ns        53676 ns        12965
SoAScan/326/1335296       53683 ns        53683 ns        12966
SoAScan/327/1339392       53646 ns        53645 ns        13006
SoAScan/328/1343488       53549 ns        53550 ns        12953
SoAScan/329/1347584       53581 ns        53581 ns        12929
SoAScan/330/1351680       53450 ns        53450 ns        13052
SoAScan/331/1355776       53544 ns        53545 ns        12991
SoAScan/332/1359872       53433 ns        53432 ns        12994
SoAScan/333/1363968       53375 ns        53375 ns        13019
SoAScan/334/1368064       53409 ns        53408 ns        13037
SoAScan/335/1372160       53397 ns        53398 ns        13010
SoAScan/336/1376256       53179 ns        53178 ns        13053
SoAScan/337/1380352       53324 ns        53323 ns        13044
SoAScan/338/1384448       53111 ns        53112 ns        13047
SoAScan/339/1388544       53396 ns        53394 ns        13073
SoAScan/340/1392640       53290 ns        53290 ns        13086
SoAScan/341/1396736       53231 ns        53232 ns        13098
SoAScan/342/1400832       52781 ns        52781 ns        13165
SoAScan/343/1404928       53069 ns        53069 ns        13120
SoAScan/344/1409024       53156 ns        53154 ns        13097
SoAScan/345/1413120       53123 ns        53123 ns        13124
SoAScan/346/1417216       52964 ns        52964 ns        13152
SoAScan/347/1421312       53077 ns        53077 ns        13108
SoAScan/348/1425408       52981 ns        52981 ns        13121
SoAScan/349/1429504       53019 ns        53019 ns        13153
SoAScan/350/1433600       52940 ns        52940 ns        13110
SoAScan/351/1437696       52905 ns        52905 ns        13117
SoAScan/352/1441792       53276 ns        53277 ns        13091
SoAScan/353/1445888       53235 ns        53236 ns        13030
SoAScan/354/1449984       53025 ns        53025 ns        13072
SoAScan/355/1454080       53135 ns        53135 ns        13096
SoAScan/356/1458176       52997 ns        52995 ns        13130
SoAScan/357/1462272       52916 ns        52916 ns        13152
SoAScan/358/1466368       52758 ns        52751 ns        13156
SoAScan/359/1470464       52662 ns        52663 ns        13109
SoAScan/360/1474560       52573 ns        52573 ns        13197
SoAScan/361/1478656       52498 ns        52498 ns        13253
SoAScan/362/1482752       52578 ns        52579 ns        13230
SoAScan/363/1486848       52571 ns        52565 ns        13260
SoAScan/364/1490944       52326 ns        52327 ns        13249
SoAScan/365/1495040       52538 ns        52537 ns        13243
SoAScan/366/1499136       52367 ns        52367 ns        13274
SoAScan/367/1503232       52371 ns        52369 ns        13288
SoAScan/368/1507328       52399 ns        52392 ns        13264
SoAScan/369/1511424       52285 ns        52285 ns        13306
SoAScan/370/1515520       52462 ns        52461 ns        13208
SoAScan/371/1519616       52324 ns        52324 ns        13273
